,function,size,pvalue,statistic
503,set_fs_pwd,56,3.3161270535843095e-13,18.613746439404455
74,apparmor_inode_create,56,3.831883065430556e-13,21.220434417842004
1366,proc_fd_permission,56,4.0642330404676545e-13,18.394205990863636
222,can_vma_merge_after,56,4.1610035878585224e-13,21.10776903881951
196,call_rcu,56,4.374100117305089e-13,21.039752353211185
921,hook_path_mkdir,56,4.4551927387249364e-13,18.29585564115698
720,do_set_pte,56,4.4882222551940235e-13,18.287966805804682
268,aa_dfa_match,56,4.702669753643412e-13,20.94147819501443
935,finish_wait,56,4.841978339380373e-13,18.207116751311418
1195,get_task_pid,56,5.052088689334067e-13,18.161989158637226
970,find_timens_vvar_page,56,5.114235450013652e-13,18.149019214014146
742,cpuset_fork,56,5.225998920284421e-13,18.12610645682391
1243,pud_clear_huge,56,5.345374292073944e-13,18.102196046570036
1,cap_bprm_creds_from_file,56,5.379431640227587e-13,20.760185043234475
374,security_task_free,56,5.815659564790421e-13,18.013178218465455
1515,init_timer_key,56,6.474426281797826e-13,24.577450347066694
267,copy_msghdr_from_user,56,6.856699702353195e-13,20.43670623891356
1031,file_update_time,56,7.323449727875499e-13,17.77182171453668
1008,hook_path_mknod,56,7.457838945758913e-13,17.752907530750687
1245,prepare_to_wait_event,56,7.666970633135571e-13,17.724176055960708
1719,kmalloc_slab,56,7.708035365306376e-13,24.26653381907325
310,set_cred_ucounts,56,7.894574692911498e-13,17.693829521105602
1096,housekeeping_test_cpu,56,8.418705491656787e-13,17.627312656512196
916,hook_path_unlink,56,8.45534752290587e-13,17.622826631047662
1002,get_old_pud,56,8.525030475157811e-13,17.614351636732614
1025,fpstate_free,56,8.711499960994852e-13,17.592026592249344
1278,ptep_set_access_flags,56,9.56018423230474e-13,17.496397165892343
26,close_fd,56,9.575174865276697e-13,19.999167808643577
1080,hook_cred_free,56,9.874200858842138e-13,17.46326095671089
77,block_write_end,56,9.907246129119457e-13,19.9549923178359
1465,put_pid.part.0,56,1.0103832327111504e-12,17.43972397112633
1065,flush_itimer_signals,56,1.0118525738089173e-12,17.438237126848033
1291,mutex_lock_interruptible,56,1.0750190013069882e-12,17.37637970618832
318,shrink_dcache_parent,56,1.0833079470855289e-12,17.368547654981384
265,consume_skb,56,1.0924403678826427e-12,19.82885600483635
349,special_mapping_close,56,1.1001610055862494e-12,17.352816215882694
864,dup_userfaultfd_complete,56,1.125020420130249e-12,17.330068302556768
1086,hugepage_vma_check,56,1.1272260504976325e-12,17.32807561910413
1348,page_move_anon_rmap,56,1.221727849010072e-12,17.24634528543991
256,check_preempt_wakeup,56,1.2756025590134903e-12,19.630316520268426
315,security_current_getsecid_subj,56,1.3303393372216935e-12,17.160256881075245
900,from_kprojid,56,1.4230507662341755e-12,17.092431234927275
493,set_personality_64bit,56,1.4443001365506262e-12,17.077540948077324
1759,init_entity_runnable_average,56,1.5136909061731591e-12,23.09844640704267
332,siginfo_layout,56,1.5650757485230963e-12,16.99706138580826
1389,pull_rt_task,56,1.606611674936643e-12,16.970885706370474
1461,proc_misc_d_revalidate,56,1.6398585784645277e-12,16.950441765451156
1731,iput,56,1.6998011010574084e-12,22.903214857094845
284,set_dumpable,56,1.7653811252838059e-12,16.877005406780476
938,free_uid,56,1.8052789167203932e-12,16.85480975348419
1255,pmd_clear_huge,56,1.8716737478262546e-12,16.81899353123086
777,dmi_get_system_info,56,1.9437050430175568e-12,16.781618320353083
